patch	name	type	partial_mask	partial	block_addr	region_off	fine	set	vsel_addr	vel_splits	set_idx_per_velzone
280	     Dream      	20	15	1	063679	43679	06	00	076B49	3B/4F/63	22/23/19/24
280	     Dream      	20	15	2	0636CA	436CA	5B	80	077536	7F/7F/7F	254/254/254/254
281	      Mist      	20	15	0	063781	43781	64	04	077633	7F/7F/7F	275/275/275/275
281	      Mist      	20	15	1	0637D2	437D2	03	00	076AFC	7F/7F/7F	8/8/8/8
281	      Mist      	20	15	2	063823	43823	3C	80	07719A	7F/7F/7F	170/170/170/170
282	   Sweep Pad    	20	11	0	0638DA	438DA	6B	01	0776D8	7F/7F/7F	289/289/289/289
282	   Sweep Pad    	20	11	1	06392B	4392B	76	00	077788	7F/7F/7F	306/306/306/306
283	    Halo Pad    	20	15	0	0639E2	439E2	6B	01	0776D8	7F/7F/7F	289/289/289/289
283	    Halo Pad    	20	15	1	063A33	43A33	39	80	077142	7F/7F/7F	160/160/160/160
283	    Halo Pad    	20	15	2	063A84	43A84	6B	02	0776E3	7F/7F/7F	290/290/290/290
284	   Echo Drops   	20	11	0	063B3B	43B3B	68	04	0776AC	7F/7F/7F	286/286/286/286
284	   Echo Drops   	20	11	1	063B8C	43B8C	76	00	077788	7F/7F/7F	306/306/306/306
285	   Poly Synth   	20	15	0	063C43	43C43	76	00	077788	7F/7F/7F	306/306/306/306
285	   Poly Synth   	20	15	1	063C94	43C94	6B	01	0776D8	7F/7F/7F	289/289/289/289
285	   Poly Synth   	20	15	2	063CE5	43CE5	76	00	077788	7F/7F/7F	306/306/306/306
286	Warm Synth Brass	20	05	0	063D9C	43D9C	3C	03	0771B0	7F/7F/7F	169/169/169/169
286	Warm Synth Brass	20	05	1	063DED	43DED	7C	00	0778B1	7F/7F/7F	332/332/332/332
287	    Ice Rain    	20	15	0	063EA4	43EA4	6B	01	0776D8	7F/7F/7F	289/289/289/289
287	    Ice Rain    	20	15	1	063EF5	43EF5	6B	01	0776D8	7F/7F/7F	289/289/289/289
287	    Ice Rain    	20	15	2	063F46	43F46	5C	80	07756D	7F/7F/7F	257/257/257/257
288	   Soundtrack   	20	15	0	063FFD	43FFD	6B	01	0776D8	7F/7F/7F	289/289/289/289
288	   Soundtrack   	20	15	1	06404E	4404E	6B	01	0776D8	7F/7F/7F	289/289/289/289
288	   Soundtrack   	20	15	2	06409F	4409F	76	00	077788	7F/7F/7F	306/306/306/306
289	    Goblins     	20	15	0	064156	44156	68	01	077696	7F/7F/7F	284/284/284/284
289	    Goblins     	20	15	1	0641A7	441A7	68	01	077696	7F/7F/7F	284/284/284/284
289	    Goblins     	20	15	2	0641F8	441F8	5B	80	077536	7F/7F/7F	254/254/254/254
290	Strings & Horns 	20	55	0	0642AF	442AF	64	00	07761D	7F/7F/7F	273/273/273/273
290	Strings & Horns 	20	55	1	064300	44300	64	04	077633	7F/7F/7F	275/275/275/275
290	Strings & Horns 	20	55	2	064351	44351	36	01	0770F5	7F/7F/7F	153/153/153/153
290	Strings & Horns 	20	55	3	0643A2	443A2	67	04	07768B	7F/7F/7F	283/283/283/283
291	Strings & Flutes	20	15	0	064459	44459	67	00	077680	7F/7F/7F	282/282/282/282
291	Strings & Flutes	20	15	1	0644AA	444AA	64	05	07763E	7F/7F/7F	276/276/276/276
291	Strings & Flutes	20	15	2	0644FB	444FB	40	01	077208	7F/7F/7F	177/177/177/177
292	Piano & Strings 	00	15	0	0645B2	445B2	00	05	076AC5	7F/7F/7F	2/2/2/2
292	Piano & Strings 	00	15	1	064603	44603	64	05	07763E	7F/7F/7F	276/276/276/276
292	Piano & Strings 	00	15	2	064654	44654	65	00	077649	7F/7F/7F	277/277/277/277
293	Heavenly Strings	20	15	0	06470B	4470B	20	00	076DDD	7F/7F/7F	83/83/83/83
293	Heavenly Strings	20	15	1	06475C	4475C	65	01	077654	7F/7F/7F	278/278/278/278
293	Heavenly Strings	20	15	2	0647AD	447AD	64	00	07761D	7F/7F/7F	273/273/273/273
294	Warm String Pad 	20	11	0	064864	44864	77	00	0777EB	7F/7F/7F	315/315/315/315
294	Warm String Pad 	20	11	1	0648B5	448B5	76	06	0777E0	7F/7F/7F	309/309/309/309
295	  Chamber Orch  	00	55	0	06496C	4496C	65	00	077649	7F/7F/7F	277/277/277/277
