page	class	chunk	param_ptr	wave_off	rom_start	rom_end	samples	shared	param_record
2	6	215	0x1FE4	0xD51E	0x2D51E0	0x2D5260	64	1	
2	6	216	0x1FE6	0xD526	0x2D5260	0x2D52E0	64	1	
2	6	217	0x1FE8	0xD52E	0x2D52E0	0x2D5360	64	1	
2	6	218	0x1FEA	0xD536	0x2D5360	0x2D53E0	64	1	
2	6	219	0x1FEC	0xD53E	0x2D53E0	0x2D54E0	128	1	
2	6	220	0x1FEE	0xD54E	0x2D54E0	0x2D5560	64	1	
2	6	221	0x1FF0	0xD556	0x2D5560	0x2D55E0	64	1	
2	6	222	0x1FF2	0xD55E	0x2D55E0	0x2D5660	64	1	
2	6	223	0x1FF4	0xD566	0x2D5660	0x2D56E0	64	1	
2	6	224	0x1FF6	0xD56E	0x2D56E0	0x2D5760	64	1	
2	6	225	0x1FF8	0xD576	0x2D5760	0x2D57E0	64	1	
2	6	226	0x1FFA	0xD57E	0x2D57E0	0x2D5860	64	1	
2	6	227	0x1FFC	0xD586	0x2D5860	0x2D58E0	64	1	
2	6	228	0x1FFE	0xD58E	0x2D58E0	0x2D59E0	128	1	
2	6	229	0x2000	0xD59E	0x2D59E0	0x2D5A60	64	1	
2	6	230	0x2002	0xD5A6	0x2D5A60	0x2D5AE0	64	1	
2	6	231	0x2004	0xD5AE	0x2D5AE0	0x2D5B60	64	1	
2	6	232	0x2006	0xD5B6	0x2D5B60	0x2D5BE0	64	1	
2	6	233	0x2008	0xD5BE	0x2D5BE0	0x2D5C60	64	1	
2	6	234	0x200A	0xD5C6	0x2D5C60	0x2D5CE0	64	1	
2	6	235	0x200C	0xD5CE	0x2D5CE0	0x2D5DE0	128	1	
2	6	236	0x200E	0xD5DE	0x2D5DE0	0x2D5EE0	128	1	
2	6	237	0x2010	0xD5EE	0x2D5EE0	0x2D5FE0	128	1	
2	6	238	0x2012	0xD5FE	0x2D5FE0	0x2D6060	64	1	
2	6	239	0x2014	0xD606	0x2D6060	0x2D60E0	64	1	
2	6	240	0x2016	0xD60E	0x2D60E0	0x2D6160	64	1	
2	6	241	0x2018	0xD616	0x2D6160	0x2D61E0	64	1	
2	6	242	0x201A	0xD61E	0x2D61E0	0x2D6260	64	1	
2	6	243	0x201C	0xD626	0x2D6260	0x2D62E0	64	1	
2	6	244	0x201E	0xD62E	0x2D62E0	0x2D63E0	128	1	
2	6	245	0x2020	0xD63E	0x2D63E0	0x2D6460	64	1	
