=== 241 segments across 12 runs ===
verdicts: FAIL=0  SUSPECT=0  WATCH=0  PASS=241
verdict  run  effect                                   fpeak%FS  clip frail  DACpk  upl  why
PASS     S3   BASELINE                                      4.1     0     0    957    0  
PASS     S3   SoundDSP/RotarySpeaker/Standard               4.1     0     0   1080  604  
PASS     S3   SoundDSP/RotarySpeaker/Single Rotor           4.1     0     0    956  192  
PASS     S4   BASELINE                                      4.1     0     0    957    0  
PASS     S4   SoundDSP/Phaser/Deep5                         4.1     0     0   1012  222  
PASS     S5   BASELINE                                      4.1     0     0    957    0  
PASS     S5   SoundDSP/Celeste/Celeste3                     4.1     0     0   1048  162  
PASS     R1B  Chorus/Chorus1                                4.1     0     0    956    0  
PASS     M1   Multi/DualDelay/Deep7                         4.1     0     0    956  178  
PASS     M3   Multi/Distortion/Normal                       4.1     0     0    956  543  
PASS     M3   Multi/Distortion/Hard                         4.1     0     0    956  138  
PASS     M3   Multi/Distortion/Bright                       4.1     0     0    956  632  
PASS     M4   Multi/ReverseWah/Wah4                         4.1     0     0    956  102  
PASS     S2   SoundDSP/AutoPan/Auto Pan5                    4.1     0     0   1015  210  
PASS     S2   SoundDSP/Tremolo/Tremolo6                     4.1     0     0    949  186  
PASS     S3   SoundDSP/RotarySpeaker/Bright Twin            4.1     0     0    966  604  
PASS     S4   SoundDSP/Flanger/Deep4                        4.1     0     0    969  248  
PASS     S5   SoundDSP/AutoWah/Wah5                         4.1     0     0   1099  102  
PASS     M2   Multi/Fuzz/Hard Compress                      4.1     0     0    964  138  
PASS     M3   Multi/Distortion/Fat                          4.1     0     0    964  632  
PASS     M3   Multi/LFOFilter/For 3Beat 1                   4.1     0     0    964  210  
PASS     M5   Multi/DelayComplex/Autowah+Delay              4.1     0     0    964  536  
PASS     S3   SoundDSP/RotarySpeaker/Normal Twin            4.1     0     0   1095  604  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 8              4.1     0     0   1006  248  
PASS     S5   SoundDSP/Celeste/Celeste6                     4.1     0     0   1030  162  
PASS     M1   Multi/SlowAttacker/Slow Attacker2             4.1     0     0    898   90  
PASS     S5   SoundDSP/Exciter/Exciter3                     4.1     0     0    907  126  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 8               4.0     0     0    998  222  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.7                4.0     0     0    960  186  
PASS     M1   Multi/CrossDelay/Shallow8                     4.0     0     0    959  178  
PASS     M2   Multi/Compressor/Comp.1                       4.0     0     0    959  373  
PASS     M2   Multi/Compressor/Comp.2                       4.0     0     0    959  114  
PASS     M3   Multi/Overdrive/Normal                        4.0     0     0    959  640  
PASS     M4   Multi/PedalWah/Wah2                           4.0     0     0    959  114  
PASS     M5   Multi/VocalEffect/Vocal Harmonizer            4.0     0     0    959 3157  
PASS     M5   Multi/VocalEffect/Voice Changer1              4.0     0     0    959  599  
PASS     S2   SoundDSP/AutoPan/Auto Pan7                    4.0     0     0   1001  210  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 6              4.0     0     0   1020  248  
PASS     S4   SoundDSP/Flanger/Deep7                        4.0     0     0    969  248  
PASS     S5   SoundDSP/Celeste/Celeste5                     4.0     0     0    911  162  
PASS     S5   SoundDSP/AutoWah/Wah4                         4.0     0     0    960  102  
PASS     M1   Multi/CrossDelay/Shallow3                     4.0     0     0    963  178  
PASS     M2   Multi/Compressor/Comp.3                       4.0     0     0    963  114  
PASS     M2   Multi/DistortedAmp/Normal4                    4.0     0     0    963  633  
PASS     M5   Multi/MultiTapDelay/Multi8                    4.0     0     0    963  286  
PASS     S3   SoundDSP/FlangerDryWet/Dry/Wet 2              4.0     0     0   1092  248  
PASS     S2   SoundDSP/Tremolo/Tremolo7                     4.0     0     0   1042  186  
PASS     M1   Multi/DualDelay/Deep8                         3.9     0     0    962  178  
PASS     M4   Multi/ReverseWah/Wah5                         3.9     0     0    962  102  
PASS     M4   Multi/LFOWah/For 3Beat 2                      3.9     0     0    962  210  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 4               3.9     0     0    930  222  
PASS     M5   Multi/DelayComplex/Delay+Flanger              3.9     0     0    897  775  
PASS     M5   Multi/DelayComplex/Delay+Phaser               3.8     0     0    895  755  
PASS     M1   Multi/SlowAttacker/Slow Attacker4             3.8     0     0    961   90  
PASS     M2   Multi/DistortedAmp/Normal2                    3.8     0     0    961  633  
PASS     M3   Multi/Overdrive/Fat                           3.8     0     0    961  667  
PASS     M4   Multi/ReverseWah/Wah7                         3.8     0     0    961  102  
PASS     M4   Multi/LFOWah/For 3Beat 1                      3.8     0     0    961  210  
PASS     S1   SoundDSP/Enhancer/Enhancer3                   3.8     0     0   1028  158  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.1                3.8     0     0    939  647  
PASS     R1B  Chorus/Chorus3                                3.7     0     0    897  282  
