kn5000_subcpu_boot.ic30 ROM NEEDS REDUMP
kn5000_rhythm_data_rom.ic14 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
WARNING: the machine might not run correctly.
P9 t=306 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=307 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=308 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=309 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=310 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=311 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=312 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=313 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=314 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=315 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=316 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=317 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=318 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=319 transport=00 subtick=18 wd=00 acc=00 8d38=E4
P9 t=320 transport=00 subtick=18 wd=00 acc=00 8d38=E4
Average speed: 113.65% (319 seconds)
